dataset,segment_length,model,accuracy_mean,accuracy_std,time_s,peak_memory_mb,emissions_kg
features_30_sec,30s,Logistic Regression,0.721,0.0398622628559895,0.40760858400608413,4.174740791320801,2.135463100791975e-07
features_30_sec,30s,k-NN,0.679,0.04205948168962617,0.13110241599497385,1.370070457458496,6.679101281557896e-08
features_30_sec,30s,Random Forest,0.717,0.041484937025383084,16.212886833003722,1.1164770126342773,8.618740091033406e-06
features_3_sec,3s,Logistic Regression,0.7240240240240241,0.017470550507925182,1.9404120839899406,50.24822998046875,1.0290678270015722e-06
features_3_sec,3s,k-NN,0.8931931931931933,0.008447048828744667,0.29356537500279956,13.074917793273926,1.5331673104849084e-07
features_3_sec,3s,Random Forest,0.8823823823823822,0.007520842344849568,93.0265377080068,7.832110404968262,4.9469548932068275e-05
