dataset,model,accuracy_mean,accuracy_std,time_s,peak_memory_mb,emissions_kg
GenreAll,Logistic Regression,0.8298181818181819,0.04301004407623466,0.6382857089920435,13.59472942352295,3.3592945512397846e-07
GenreAll,k-NN,0.718919191919192,0.04886003927981076,0.19283737501245923,5.428042411804199,9.972123026630532e-08
GenreAll,Decision Tree,0.6373535353535354,0.0355618910792571,1.367417542001931,4.349132537841797,7.244445862232534e-07
GenreAll,Random Forest,0.8054747474747476,0.048277540811874,9.655072916997597,4.456330299377441,5.131958228921738e-06
GenreAll,MLP,0.8307979797979798,0.03923902329165147,7.291820584010566,5.776166915893555,3.875198270686022e-06
