task,dataset,segment_length,model,accuracy_mean,accuracy_std,time_s,peak_memory_mb,emissions_kg
Task1,GenreAll,full,MLP,0.8307979797979798,0.0392390232916514,7.291820584010566,5.776166915893555,3.875198270686022e-06
Task2,features_30_sec,30s,Logistic Regression,0.721,0.0398622628559895,0.4076085840060841,4.174740791320801,2.135463100791975e-07
Task2,features_3_sec,3s,k-NN,0.8931931931931933,0.0084470488287446,0.2935653750027995,13.074917793273926,1.5331673104849086e-07
