model,task,test_accuracy,test_loss,emissions_kg,elapsed_seconds,emissions_kg_head,elapsed_seconds_head,emissions_kg_ft,elapsed_seconds_ft
CNN_scratch,Task1,0.550000011920929,1.4111741781234741,0.00015285272201852164,287.5660049915314,,,,
VGG16_finetuned,Task2,0.6700000166893005,1.0691734552383423,,,0.00024825975900791405,467.77320194244385,0.000140663760005286,264.8430128097534
