epochs,mlp_best_val_auc,cnn_best_val_auc,mlp_test_auc,cnn_test_auc,total_train_time_s,emissions_kg
5,0.7548989442114746,0.8340244264229537,0.7587364624045635,0.8275658662896821,512.6846849918365,0.000272653005600396
10,0.794751226680275,0.8521794432696427,0.7946842761749332,0.8286579788199461,1033.8363499641418,0.0005498047159861384
15,0.8017861031904129,0.8514703142499197,0.7961894223155599,0.8095111212563364,1579.7516260147095,0.0008401415805159216
